名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
おたけ,,,,,,,,,,,NSC東京校12期生,2005/1/1,,https://web.archive.org/web/20080708151407/http://junglepocket.laff.jp/,https://www.youtube.com/channel/UCOTWVP-EpyVD6SyA3PdgIJw,238,38
おたこぷー,,,,,,,,,,,吉本福岡,2008/1/1,2015/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=540,,342,42
オットリー春日,,,1980/11/8,,埼玉県,B型,178cm,,産業能率大学,,,1999/1/1,,,,,33
おにぎり (お笑い芸人),片桐健雄 (かたぎり たけお),,1977/7/19,,北海道,B型,193cm,,,,NSC東京校8期,1998/1/1,,,,,70
おねだり豊,坂谷 豊,,1985/9/17,,大阪府枚方市,B型,157cm,関西弁,関西外国語大学,,松竹芸能株式会社東京15期生,2009/1/1,2020/1/1,https://www.shochikugeino.co.jp/talents/onedariyutaka,,,49
おばたのお兄さん,小幡 和貴（おばた かずき）,,1988/6/5,,新潟県魚沼市,B型,165 cm,共通語 越後弁,日本体育大学,,NSC東京校18期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=4972,https://www.youtube.com/channel/UCY38LWW7KUNMy7puTiuayqQ,,14
おほしんたろう,於保 紳太郎（おほ しんたろう）,,1985/6/16,,佐賀県唐津市,A型,180cm,,九州大学文学部,,,1992/1/1,2000/1/1,https://www.watanabepro.co.jp/mypage/80000010/,,,21
おぼん,,,,,,,,,,,日本 大阪府,1999/1/1,2011/1/19,,,56,56
おもしろ佐藤,,,,,,,,,,,NSC東京校12期,2017/1/1,2007/12/1,,,,31
オラキオ,松雪 崇,,1977/9/5,,佐賀県鳥栖市,O型,165 cm,,,,,2010/1/1,,http://www.rhino-pro.com/profile_orakio.html,,,71
お宮の松 (お笑い芸人),佐藤 勝（さとうまさる）,お宮,1973/6/24,,福岡県,O型,163cm,,,ビートたけし,,2001/1/1,2008/1/1,,,403,3
お見送り芸人しんいち,上野 晋一 （うえの しんいち）,,1985/4/21,,大阪府大東市,A型,176㎝,,大阪経済法科大学卒業,,松竹芸能タレントスクール,2004/1/1,2015/1/1,,https://www.youtube.com/channel/UCg4hstoFSEMWc0rhw9vUEMw,,17
お祭りBoy,山口 元（やまぐち　はじめ）,,1984/2/16,,福岡県北九州市,O型,162cm,,,,松竹芸能タレントスクール東京校10期,2000/1/1,2013/1/1,http://www.shochikugeino.co.jp/talents/03/post-456.html,,220,20
お侍ちゃん,内村 寛裕,,1681/3/17,,陸奥国南部藩（岩手県盛岡市）,O型,174cm,,四谷の寺子屋（上智大学理工学部物理学科）,,,2007/1/1,2017/1/1,,https://www.youtube.com/channel/UCVJPPjppS71pca9ryZRHX9g,,9
カートヤング,内海 仁志,,1972/5/6,,,O,,,,,,2000/1/1,,,,,100
ガーユー,,,,,,,,,,,スクールJCA5期10月生,2003/1/1,,,,51,51
カール北川,北川薫,,1965/4/25,,東京都新宿区,,,,,,,2008/1/17,2010/1/17,,,,55
カイハラ (お笑い芸人),貝原 恵美,,1977/10/5,,岡山県,A型,151cm,,,,,2006/1/1,,,,414,14
カイラ (お笑い芸人),松延 海良,,1992/11/6,,福岡県八女市,A型,175cm,,福岡教育大学卒業,,,1995/1/1,,,,,24
ガオ?ちゃん,,,1986/5/17,,兵庫県,O型,168cm,,立命館大学卒業,,NSC大阪校31期,2006/1/1,2014/1/1,,,,3
カジ (お笑い芸人),鍜治 輝光（かじ てるみつ）,,1977/12/22,,千葉県千葉市,B型,180cm,,東京会計専門学校,,,2013/1/1,,https://www.sunmusic-gp.co.jp/talent/kaji/,,245,45
かじがや卓哉,梶ヶ谷卓哉,,1982/10/8,,神奈川県伊勢原市,O型,173cm,共通語,横浜市立横浜商業高等学校卒業,,NSC東京校14期,1997/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6537,https://www.youtube.com/channel/UCmWVwb1NqEe1PuVf199ii-w,293,93
カステラ一番,木原　恵一 （きはら　けいいち）,,1968/11/19,,長崎県諫早市,O型,,共通語,長崎県立大村工業高等学校,コロッケ,,2003/1/1,,https://ameblo.jp/kiharakei/,,274,74
カズマ・スパーキン,常峰 一真（つねみね かずま）,,1984/2/10,,,A型,168cm,,大阪府立旭高等学校,,NSC大阪校25期,1991/1/1,2011/1/1,http://asaikikaku.co.jp/talent/profile/kazumasupaking,,451,51
かずみん,山田 和身（やまだ かずみ）,,1973/11/12,,東京都世田谷区,O型,175cm,,,ブッチャーブラザーズ,スクールJCA3期,2003/1/1,,,,406,6
カズレーザー,金子 和令（かねこ かずのり）,カズ、カズレーザー,1984/7/4,,埼玉県加須市,O型,182cm,標準語,同志社大学商学部,,TOKYO☆笑BIZ 4期生,2015/1/1,2020/1/1,,https://www.youtube.com/channel/UCeVfNbOctl0EXPZNXt4aRzw,221,21
ガダルカナル・タカ,井口 薫仁（いぐち たかひと）,タカさん、タカちゃん、親方、さわやかなヨゴレ、ベテランの小御所（自称）,1956/12/16,,静岡県田方郡天城湯ヶ島町（現・伊豆市）,B型,173cm,標準語,沼津学園高等学校卒業,ビートたけし,お笑いスター誕生,2015/1/14,2019/1/19,,,129,29
かっすん,五百旗頭 香澄（いおきべ かすみ）,,1986/4/4,,大阪府,,,,,,,2019/1/1,,,,5,5
ガッテン森枝,,,,,,,,,,,スクールJCA7期,2013/1/1,,http://www.p-jinriki.com/pc/talent/elephantjohn/,,74,74
カトゥー,加藤 直也（かとう なおや）,,1976/1/24,,大阪府,O型,171cm,,東京経済大学経済学部経済学科,,,2017/1/1,,https://www.maseki.co.jp/talent/katoo,,85,85
かなで,,,,,,,,,,,NSC大阪校女性タレントコース5期（福田） NSC大阪校36期（ゆめっち） NSC東京校20期（かなで）,2001/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6579,https://www.youtube.com/channel/UCCxFFwpXp8e1ZDUDtIk_XvQ,,67
カニササレアヤコ,,,1994/1/26,,神奈川県,A型,164cm,,早稲田大学文化構想学部卒業,,早稲田大学お笑い工房LUDO ワタナベコメディスクール19期,1993/1/1,,,,,37
カネシゲタカシ,金重 高志,,,,,,,,,,,2006/1/1,,https://kaneshige.wixsite.com/comic/,,,33
カピパラ,,カピ、カピさん,1986/1/7,,愛知県,B型,166cm,共通語・三河弁,愛知大学法学部卒業,,現事務所直入,1995/1/1,2003/1/1,http://aman-win.com/,,226,26
かみじょうたけし,上条 剛志,かみじょう,1977/12/31,,兵庫県津名郡一宮町（現淡路市）,A型,170cm,関西弁,龍谷大学文学部卒業,,,2011/1/14,,https://www.shochikugeino.co.jp/talents/kamijotakeshi/,,100,100
カモシダせぶん,鴨志田 道秋（かもしだ みちあき）,,1988/7/13,,神奈川県,B型,170cm,,,,,1993/1/1,2001/1/1,https://www.shochikugeino.co.jp/talents/ultratoufu/,,168,68
カリカナタ,田中 利佳（たなか りか）,群馬ちゃん,1978/1/1,,群馬県,,154cm,,,,,1996/1/1,2000/1/1,,,238,38
ガリガリガリクソン,坂本 祐介（さかもと ゆうすけ）,,1986/2/19,,兵庫県伊丹市,A型,176cm,関西弁,放送芸術学院専門学校卒業,横山ジッパー（林卓也）,NSC大阪校23期,2000/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2887,,319,19
カルメンおじさん,前田 博貴（まえだ ひろき）,,1980/11/27,,福岡県,O型,178cm,,,,スクールJCA9期 TOKYO笑BIZ1期,1999/1/1,2002/1/1,,,398,98
カンカン (お笑い芸人),柳沢 寛雄（やなぎさわ ひろお）,,1976/7/14,,兵庫県西宮市,AB型,170cm,,金光第一高等学校,,,2001/1/1,2010/1/1,https://neet-project.com/profile/kankan/index.html,,480,80
かんちゃま,菅野 総一郎,チェリーさん、チェリー,1975/7/17,,愛媛県松山市,O型,166cm,関西弁,鳴門教育大学中退,なし,,2001/1/1,,http://ip.tosp.co.jp/i.asp?I=cherryboydazo,,24,24
カンニング竹山,竹山（たけやま） 隆範（たかのり）,竹山部長、竹ちゃん、ずぶ濡れじじい、カブトムシさいとう,1971/4/2,,福岡県福岡市城南区,O型,168cm,共通語・博多弁,福岡県立早良高等学校,,吉本興業福岡事務所直入,2015/1/1,,https://www.sunmusic-gp.co.jp/talent/cunning_takeyama/,,282,82
ガンビーノ小林,小林 太（こばやし まさる）,,1972/11/13,,北海道,O型,178cm,,,ビートたけし,,1991/1/1,2003/1/1,https://blog.goo.ne.jp/ganbeeno,,,6
キートン (お笑い芸人),増谷 繁樹（ますや しげき）,,1973/7/11,,東京都大田区,A型,161 cm,共通語,,,NSC東京校2期,2014/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=870,,138,38
きーぽん,,ぽんきー、きーちゃん、すっぴんオバケ,1976/9/18,,栃木県上都賀郡粟野町（現・鹿沼市）,,,,,,,2001/1/1,,https://ameblo.jp/djkeepon/,,,66
キクチウソツカナイ。,,,,,,,,,,,NSC東京校3期,2001/1/1,2012/1/1,https://web.archive.org/web/20080708153311/http://poteto-shonendan.laff.jp/,,241,41
キクチケンイチ,,,,,,,,,,,NSC東京校2期,2000/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2647,,,98
きくりん,菊地 友和（きくち ともかず）,,1976/4/19,,,B型,174cm,,早稲田大学法学部,,千葉県野田市,2008/1/1,,http://www.primecorp.co.jp/talent/kikurin.html,,257,57
キシモトマイ,岸本 麻衣,,1980/8/6,,愛知県名古屋市,B型,160cm,,愛知県立瀬戸北高等学校（現：愛知県立瀬戸北総合高等学校）,,NSC東京校5期,2019/1/1,,,,219,19
キタサヤカ,,,1981/2/5,,奈良県,,,,東京大学大学院,,,2000/1/1,,http://kitasayaka.main.jp/index.html,,,37
きたざわひとし,,,,,,,,,,,,2008/1/1,2012/1/1,http://robinsons.tokyo/,,,38
きたろう,古関安広（こせき やすひろ）,きたろうさん,1948/8/25,,千葉県市川市,O型,164 cm,,中央大学文学部,,,1995/1/1,2011/1/1,http://www.kitarou.net/,,84,84
きったん,北本 智子（きたもと さとこ）,,1990/1/17,,東京都三鷹市,A型,154cm,,舞台芸術学院卒業,,ワタナベコメディスクール16期,2016/1/1,,https://www.sunmusic-gp.co.jp/talent/konsai_cabaret/,,,50
きっと安田,安田孟,,1990/9/2,,愛知県愛西市,,,,,,よしもとクリエイティブ・エージェンシー東海支社26期,2017/1/1,,,,,71
ギフト☆矢野,矢野快記（やの かいき）,,1980/6/5,,岐阜県安八郡安八町,O型,177cm,,東京アナウンス学院,,,1990/1/1,2006/1/1,https://neet-project.com/profile/gift-yano/index.html,,344,44
ぎぼっくす,,,,,,,,,,,那覇市首里（ぎぼっくす）、那覇市三原（店長）,2018/1/1,,http://www.fec.okinawa/11.php,,,100
キミーブラウニー,,,,,福岡県北九州市門司区門司港,,,,,,,2016/1/1,2018/1/1,,,,38
きみえ,,,1990/12/30,,神奈川県,A型,150cm,共通語,,,NSC東京校15期,2005/1/1,,,,,65
きみきみ,古山 貴実子（読みは同じ）,,1979/1/27,,,A型,,,,,,2016/1/1,,,,,92
きむ (お笑い芸人),木村亮介,,1987/12/24,,大阪府箕面市,O型,165cm,,,,NSC大阪校31期,2007/1/1,,,,,29
キャッチャー中澤,中澤 兼利（なかざわ かずよし）,,1990/8/23,,茨城県,O型,180cm,共通語,,,スクールJCA18期 ワタナベコメディスクール16期,2005/1/1,2010/1/1,https://www.highendz.net/cnakazawa,,,64
キャツミ,後藤 克海（ごとうかつみ）,,1999/5/20,,兵庫県宝塚市,,,,,,NSC大阪校41期,2003/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6788,,,89
ギャバホイ,田口 幸宗 レオ （たぐち ゆきのり レオ）,,1976/8/18,,ブラジル・サンパウロ,A型,186cm,,,,,2014/1/1,,https://www.noreason.jp/tag/leochan/,,31,31
ギャビン (モデル),,,1995/1/11,,アメリカ合衆国,O型,,,,,,1998/1/1,,,,,89
キャプテン渡辺,渡辺 峰人 （わたなべ みねひと）,キャプテン、キャプちゃん,1975/10/20,,静岡県静岡市,A型,182 cm,,放送芸術学院卒業,,,1970/1/1,2020/1/1,https://ameblo.jp/captain-maou?utm_source=gamp&utm_medium=ameba&utm_content=general__captain-maou&utm_campaign=gamp_headerInfo,,46,46
キューティー上木,上木大介（うえき だいすけ）,,1978/6/20,,鹿児島県鹿児島市,A型,,,鹿児島国際大学,,NSC大阪校26期,1964/1/1,2019/1/1,,,432,32
きょうた,,,,,,,,,,,,2018/1/1,,http://talents.kpro-web.com/osetsutokyota/,,,47
きょどり親方,廣田彩,,1989/9/1,,北海道旭川市,,cm,,拓殖大学北海道短期大学環境農学科,,ワタナベコメディスクール21期,2003/1/1,,,,,24
きょん,富士田 恭兵（ふじた きょうへい）,きょんちゃん,1987/11/18,,埼玉県草加市,AB型,174cm,共通語,國學院大學法学部卒業,,NSC東京校17期,2005/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6040,,,1
きりやはるか,,,,,,,,,,,NSC東京校18期（田辺、酒寄） NSC東京校20期（きりや、あんり）,2018/1/1,2009/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6892,https://www.youtube.com/channel/UCAwDbZG6UtUAa0s6tfgqQBA,,92
キンタロー。,田中 志保 （たなか しほ）（旧姓）,,1981/10/24,,愛知県岡崎市,B型,152.5cm,標準語 三河弁 関西共通語,関西外国語大学短期大学部卒業,,松竹芸能タレントスクール東京校（20期）,2011/1/1,,https://www.shochikugeino.co.jp/talents/kintaro/,,,70
クシャおじさん,成田 幸雄,クシャおじさん,,,,,,,,桃中軒雲右衛門,,2001/1/1,,,,,73
ぐたく,唐沢拓磨（からさわ たくま）,,1981/3/15,,東京都,O型,,,東京大学中途退学,,,2016/1/11,,http://www.genshijin.com/NewFiles/gtac.html,,399,99
くっきー!,川島 邦裕（かわしま くにひろ）（旧芸名）,くーちゃん,1976/3/12,,滋賀県守山市,AB型,180 cm,関西弁,滋賀県立守山北高等学校,,NSC大阪校13期,2018/1/1,,https://supercookielandneo.com/,,418,18
クック井上。,,,,,,,,,,,,2018/1/1,,https://www.neet-project.com/profile/twinkle/,,228,28
ぐっちゃん,,,1971/12/13,,兵庫県加西市,,,,,,,2000/1/1,,,,,48
くまだまさし,熊田雅志,,1973/7/26,,東京都荒川区,A型,170cm,共通語,関東第一高等学校,,NSC東京校2期,1979/1/1,2008/1/1,,,139,39
くまみき,,,,,,,,,,,,2010/1/1,,http://neet-project.com/profile/cosmo/main.html,,358,58
くまりえ,熊谷 里絵（くまがい りえ）,,1983/12/12,,宮城県気仙沼市,A型,159.6cm,,,,ワタナベコメディスクール14期,1991/1/1,1999/1/1,https://shu-pro.co.jp/talent/kumarie/,,,2
くり (タレント),栗山 直人（くりやま なおと）,,1981/8/4,,北海道旭川市,0型,170cm,共通語,,,NSC東京校6期,2006/1/1,,,,318,18
グリフォン國松,國松 恵,,,,大阪府泉大津市,B型,160cm,,畿央大学教育学部卒業,,NSC大阪校33期,2003/3/1,2010/2/6,,,,40
グレート義太夫,鈴木 正之,たけし軍団の弁慶,1958/12/26,,東京都板橋区,B型,,,亜細亜大学中退,ビートたけし,,2002/1/1,,https://web.archive.org/web/20080131140420/http://fat-man.web.infoseek.co.jp/,,151,51
クロコダイル ミユ,,,,,,,,,,,学生お笑いサークル,2009/1/19,2016/1/14,https://profile.yoshimoto.co.jp/talent/detail?id=6309,,,80
クロちゃん (お笑い芸人),黒川 明人,シロちゃん、クロマティ、黒川,1976/12/10,,日本広島県東広島市,A型,171cm,共通語,花園大学中退,,,1972/1/1,,https://www.shochikugeino.co.jp/talents/yasudadaicircus,,335,35
クロノユウスケ,鶴野 祐介 （つるの ゆうすけ）,,1979/6/2,,熊本県,A型,175cm,,久留米大学卒業,,,2006/1/1,,,,487,87
くわばたりえ,,,1976/3/24,,大阪府大阪市淀川区,O型,162cm,大阪弁,大阪市立淀商業高等学校卒業,,NSC大阪校13期,2016/1/1,,http://com.horipro.co.jp/talent/%E3%82%AF%E3%83%AF%E3%83%90%E3%82%BF%E3%82%AA%E3%83%8F%E3%83%A9/index.html,,,56
ケーシー高峰,門脇 貞男（かどわき さだお）,ドクター,1934/2/25,2019/4/8,山形県最上郡最上町,,174cm,山形弁,日本大学芸術学部,大空ヒット,,1990/1/1,,,,28,28
けーすけ,,,1964/11/23,,,O型,169.9cm（公称172cm）,,,,,2019/1/1,,,,,50
ケチャップ (タレント),藤本 芳則（ふじもと よしのり）,,1974/12/6,,兵庫県神崎郡,,,,,,,1993/1/1,1999/1/1,http://moodmaker.net/,,413,13
ゲッターズ飯田,,,1975/4/4,,静岡県,,,,,,NSC名古屋校4期,2015/1/1,2018/1/1,https://mobile.twitter.com/getters_iida,https://www.youtube.com/channel/UC-nMK37fDDgPTbENzjx31XQ,202,2
ゲラゲラ星人,山岡 大輝 （マジ・ウケール2世）,,1991/2/12,,岡山県,O型,160cm,,,,NSC大阪校32期,2012/1/1,,,,,66
げんしじん,小森信幸（こもり のぶゆき）,,1969/5/22,,大阪府,A型,,,,坂田利夫,,2018/1/1,,http://www.genshijin.com/,,245,45
ケンタエリザベス3世,宮内建太,ケンタ,1979/8/4,,和歌山県伊都郡高野町高野山,O型,168cm,標準語,伊都高校卒業,ビートたけし,,2017/1/1,2021/1/1,,,269,69
ケンドーコバヤシ,小林 友治（こばやし ともはる）,ケンコバ、コバ、Mr.やりたい放題 イタズラ天使コバちゃん,1972/7/4,,大阪府大阪市東住吉区東田辺,O型,172cm,大阪弁,初芝富田林高等学校,,NSC大阪校11期,2004/1/1,2020/1/1,,,339,39
ケン坊田中,田中 健二,,1971/7/20,,福岡県福岡市,,,,,,,2010/1/1,,,,283,83
コアラ (お笑い芸人),宮谷 信也（旧本名） 疋田 信也,,1969/2/7,,大阪府堺市,B型,167 cm,,創価大学中退,,,2006/6/1,2010/5/10,,,304,4
コアラ小嵐,柏原健太,,1985/10/12,,兵庫県・神戸市,AB型,177cm,兵庫弁,大阪経済大学卒業,,オーディション,2010/1/19,,http://choshinjuku.jp/,https://www.youtube.com/channel/UCM3Eo_7bq7Z1EuksMgs5jCA/featured,,24
こいで,,,,,,,,,,,心斎橋筋2丁目劇場素人参加形ライブ「ワチャワチャライブJr.」,2009/1/1,,,,491,91
こうのきよし,鴻野 潔（こうの きよし）,きよっさん,1970/2/8,,大阪府,A型,177cm,大阪弁,大阪市立東高等学校卒業,北野誠,,2008/1/1,,http://www.shochikugeino.co.jp/talents/05/post-820.html,,251,51
こうへい,,,,,,,,,,,NSC大阪校29期,1988/1/1,,,https://www.youtube.com/https://m.youtube.com/user/YOSHIDATACHI1113,239,39
コウメ太夫,赤井 貴（あかい たかし）,ウメッキーナ,1972/4/20,,東京都杉並区,O型,176cm,共通語,旭川大学経済学部中退,,,2018/1/1,,https://ameblo.jp/koume-dayu/,,447,47
ゴー☆ジャス,,,1978/11/10,,福島県いわき市,O型,165cm,共通語,福島県立磐城高等学校卒業,,,2006/1/1,2010/1/1,https://ameblo.jp/gorgeous55555/,https://www.youtube.com/user/gorgeousgamemarket,267,67
コージー冨田,冨田 弘司,,1967/2/24,,兵庫県神戸市,A型,172cm,共通語,,,,2015/1/1,,http://www.top-color.jp/?page_id=3,,440,40
こおろぎ (お笑い芸人),,,,,,,,,,,東京松竹養成所5期生,2015/1/1,,,,66,66
こがけん,古賀 憲太郎（こが けんたろう）,,1979/2/14,,福岡県久留米市,A型,178 cm,博多弁標準語,慶應義塾大学商学部卒業,,NSC東京校7期,2007/1/12,2014/1/11,https://profile.yoshimoto.co.jp/talent/detail?id=6708,,370,70
コカドケンタロウ,小門 建太郎（読み同じ）,けんちゃん、コカド、こっかん,1978/8/8,,大阪府大阪市,A型,175cm,大阪弁,東住吉高等学校,,NSC大阪校14期,1997/1/1,,http://blog.watanabepro.co.jp/rocchi/index.html,,485,85
ゴジーラ久山,久山 哲司（くやま てつじ）,,1965/4/13,,大阪府寝屋川市,A型,170cm,,,,,2001/1/1,,http://www.yokyo.net,,,53
こじま観光,小島 大輔（こじま だいすけ）,,1982/11/9,,埼玉県狭山市,A型,169cm,共通語,立教大学観光学部卒業,,スクールJCA19期,2009/1/1,,http://www.p-jinriki.com/talent/kojimakanko/,,,22
